"filename", "language", "SQL", "JSON", "Markdown", "JavaScript", "Django HTML", "XML", "Batch", "Vue", "Properties", "Java", "Django txt", "comment", "blank", "total"
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTAuthenticationFilter$JWTAuthenticationFailureHandler.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 1, 83
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTAuthenticationFilter.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 1, 99
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTAuthorizationFilter.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTUtil.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 1, 81
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\UserSS.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 1, 96
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\AbstractEmailService.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\AuthService.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 1, 63
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\ClienteService.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 1, 98
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\CustomUserDetailService.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 10, 38
"c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\DBService.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 13, 37
